specObjID,plateid,mjd,fiberid,ra,dec,primtarget,sectarget,targettype,spectrotype,subclass,z,z_err,z_warning,v_disp,v_disp_err,sn_median,e_bv_sfd,release,reliable,EW_Ha_6562,EW_Ha_6562_Err,sfr_fib_p50,bptclass,logMass,SFR,Metallicity
1211484291570100224,1076,52914,58,28.50715,-0.046267,64,0,GALAXY,GALAXY,STARBURST,0.01967137,4.657359E-06,0,0,58.54094,2.234739,0.03252779,special,1,223.9318,317.5704,-1.82582,1,7.77,0,0.01
1342198902358566912,1192,52649,459,135.7503,5.806526,64,0,GALAXY,GALAXY,STARBURST,0.01289791,4.850195E-06,0,850,-3,5.987201,0.06072115,dr123,1,191.6199,3.068024,-1.937309,1,7.47,0,0.01
1231888746937346048,1094,52524,561,353.8313,1.191414,64,0,GALAXY,GALAXY,STARBURST,0.01960893,4.456354E-06,0,0,45.67701,7.697427,0.04673316,special,1,89.07701,7.210413,-1.843359,1,7.56,0.1,0.01
1245359420154603520,1106,52912,415,329.5317,1.00946,64,0,GALAXY,GALAXY,STARFORMING,0.01035372,8.4633E-06,0,32.36891,25.65177,19.02943,0.05364221,special,1,48.82938,1.306662,-0.6045895,1,9.12,0,0.04
517997277432801280,460,51924,303,49.47262,-7.297829,96,0,GALAXY,GALAXY,STARFORMING,0.01751257,1.055688E-05,0,97.11382,4.516347,46.9259,0.05455728,dr123,1,24.14863,0.6693271,0.3007396,1,10.22,0.7,0.01
521466236349999104,463,51908,635,58.76979,-6.221356,64,0,GALAXY,GALAXY,STARFORMING,0.01640728,1.539418E-05,0,47.07513,8.475937,18.91409,0.09112745,dr123,1,12.31408,0.3488292,-1.817173,1,9.93,0.2,0.004
528074026438912000,469,51913,98,134.8154,0.3916403,64,0,GALAXY,GALAXY,STARBURST,0.01138677,5.995952E-06,0,16.99621,11.55762,32.68145,0.0309394,dr123,1,48.91446,1.544178,-1.662448,1,8.59,0.1,0.004
2058230025768953856,1828,53504,309,218.2201,5.999063,66,0,QSO,GALAXY,STARBURST,0.007587074,4.811391E-06,0,41.79175,17.63895,20.01796,0.03240961,dr5,1,103.4782,3.271988,-2.013671,1,7.31,0,0.02
1702444547826542592,1512,53035,305,42.96209,-1.180395,64,0,GALAXY,GALAXY,STARBURST,0.004940118,3.972405E-06,0,587.6667,82.62364,4.73322,0.07293595,special,1,32.20971,1.804157E+16,-2.814041,1,4.46,0,0.01
593481506471569408,527,52342,481,202.0508,2.278496,192,0,GALAXY,GALAXY,STARBURST,0.003358721,4.444483E-06,0,834.4758,203.2002,6.200304,0.02618934,dr123,1,286.0927,-9999,-3.16254,1,4.32,0,0.01
596806974088177664,530,52026,291,206.6003,1.578781,64,0,GALAXY,GALAXY,STARFORMING,0.0166361,7.674624E-06,0,56.69589,23.6512,12.66249,0.02754229,dr123,1,15.96424,-9999,-2.428552,1,7.95,0,0.004
606869429476681728,539,52017,34,227.0234,1.651593,96,0,GALAXY,GALAXY,STARFORMING,0.006110244,9.903073E-06,0,49.94782,8.497545,22.60196,0.05595298,dr123,1,26.09485,0.5500023,-1.588933,1,9.25,0,0.01
376059673293383680,334,51993,33,188.4407,-2.652076,64,0,GALAXY,GALAXY,STARBURST,0.008266279,5.913056E-06,0,850,-3,2.799372,0.03498568,dr123,1,162.5307,-9999,-2.826765,1,5.65,0,0.004
