specObjID,plateid,mjd,fiberid,ra_1,dec_1,primtarget,sectarget,targettype,spectrotype,subclass,z_1,z_err,z_warning,v_disp,v_disp_err,sn_median,e_bv_sfd,release,reliable,EW_Ha_6562,EW_Ha_6562_Err,sfr_fib_p50,bptclass,logMass,SFR,Metallicity,Field,ID,RA_2,DEC_2,X,Y,ISOarea,MU_MAX,e_MU_MAX,A,B,THETA,ELONGATION,ELLIPTICITY,FLUX_RADIUS,KRON_RADIUS,e_KRON_RADIUS,PhotoFlagDet,CLASS_STAR,FWHM,FWHM_n,e_FWHM_n,s2nDet,PhotoFlag_U,CLASS_STAR_U,FWHM_U,PhotoFlag_F378,CLASS_STAR_F378,FWHM_F378,PhotoFlag_F395,CLASS_STAR_F395,FWHM_F395,PhotoFlag_F410,CLASS_STAR_F410,FWHM_F410,PhotoFlag_F430,CLASS_STAR_F430,FWHM_F430,PhotoFlag_G,CLASS_STAR_G,FWHM_G,PhotoFlag_F515,CLASS_STAR_F515,FWHM_F515,PhotoFlag_R,CLASS_STAR_R,FWHM_R,PhotoFlag_F660,CLASS_STAR_F660,FWHM_F660,PhotoFlag_I,CLASS_STAR_I,FWHM_I,PhotoFlag_F861,CLASS_STAR_F861,FWHM_F861,PhotoFlag_Z,CLASS_STAR_Z,FWHM_Z,U_iso,e_U_iso,s2n_U_iso,F378_iso,e_F378_iso,s2n_F378_iso,F395_iso,e_F395_iso,s2n_F395_iso,F410_iso,e_F410_iso,s2n_F410_iso,F430_iso,e_F430_iso,s2n_F430_iso,G_iso,e_G_iso,s2n_G_iso,F515_iso,e_F515_iso,s2n_F515_iso,R_iso,e_R_iso,s2n_R_iso,F660_iso,e_F660_iso,s2n_F660_iso,I_iso,e_I_iso,s2n_I_iso,F861_iso,e_F861_iso,s2n_F861_iso,Z_iso,e_Z_iso,s2n_Z_iso,nDet_iso,U_aper_6,e_U_aper_6,s2n_U_aper_6,F378_aper_6,e_F378_aper_6,s2n_F378_aper_6,F395_aper_6,e_F395_aper_6,s2n_F395_aper_6,F410_aper_6,e_F410_aper_6,s2n_F410_aper_6,F430_aper_6,e_F430_aper_6,s2n_F430_aper_6,G_aper_6,e_G_aper_6,s2n_G_aper_6,F515_aper_6,e_F515_aper_6,s2n_F515_aper_6,R_aper_6,e_R_aper_6,s2n_R_aper_6,F660_aper_6,e_F660_aper_6,s2n_F660_aper_6,I_aper_6,e_I_aper_6,s2n_I_aper_6,F861_aper_6,e_F861_aper_6,s2n_F861_aper_6,Z_aper_6,e_Z_aper_6,s2n_Z_aper_6,nDet_aper_6,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,ID_2MASS,angDist_2MASS,FUVmag,e_FUVmag,NUVmag,e_NUVmag,ID_GALEX,angDist_GALEX,W1,e_W1,W2,e_W2,ID_unWISE,angDist_unWISE,ID_Spec,z_2,zerr,zflg,class_Spec,catalogue,match_Spec,Separation_2,Separation
563125908735551488,500,51994,640,150.4741,2.41385,64,0,GALAXY,GALAXY,STARFORMING,0.006784019,4.779071E-6,0,0.0,226.2742,7.920141,0.0185421,dr123,1,49.04119,-9999.0,-3.153833,1,6.79,0.0,0.004,SPLUS-n03n01,iDR3.SPLUS-n03n01.014239,150.47430015674274,2.413818031606015,7581.156999999998,3514.8584,224,16.636017000000002,0,6.450463,3.177884,3.6376247,2.029798,0.50734013,"(3.195684, 6.2891984, 9.154147, 13.674822)",4.816485,0,3,3.262981E-4,13.409387,4.7092295,0,55.05657,3,0.0018191007,22.347063,3,0.0018119182,27.172493,3,0.06813053,27.172493,3,0.03923252,27.172493,3,4.3210995E-4,27.172493,3,3.1698303E-4,17.619009,3,2.7837002E-4,26.487522,3,3.17793E-4,17.01134,3,3.1986702E-4,14.757709,3,3.1477454E-4,18.477018,3,0.0010161593,24.651476,3,2.8121433999999995E-4,27.172493,18.979034682491243,0.070845395,15.083356,18.34550027746162,0.06463765,16.531948,18.607423606752043,0.13208099,8.090387,18.145797195488537,0.07796155,13.708218,18.109625776899257,0.07262638,14.715229,17.928318139466352,0.022396114,47.71872000000001,17.765681710504428,0.043015756,24.844707,17.616261256903872,0.018891735,57.36405600000001,17.372242087833765,0.020223845,53.58558299999999,17.472058861601194,0.022768052,47.41074,17.406878294919792,0.05095953,21.24469,17.441179477151906,0.041268826,26.233349,12.0,19.544576682491243,0.059526215999999986,17.951525,19.03846427746162,0.061627626,17.339403,19.04099460675204,0.09830369,10.870256,18.882283195488537,0.07627285,14.01172,18.866180776899256,0.07242143,14.756872,18.650127139466345,0.02254511,47.403347,18.400649710504428,0.03979738,26.853872,18.35840725690387,0.019029692,56.948196,18.08294508783376,0.020469274,52.943085,18.239199861601197,0.022761008,47.42541,18.17825629491979,0.04999467,21.6547,18.208463477151906,0.04010413,26.995214,12.0,,,,,,,,,19.5742,0.1041,19.1978,0.0541,GALEX J100153.8+022449,0.074624,,,,,,,829796,0.0068,-99.0,3.5,GALAXY,zcosmos,true,0.14477523901331948,0.7290656444030197
579862675689859072,515,52051,88,178.7704,1.719791,64,0,GALAXY,GALAXY,STARFORMING,0.004336047,6.18169E-6,0,64.70882,10.62051,22.15956,0.02124954,dr123,1,13.58479,1.103989,-3.407918,1,7.54,0.0,0.004,SPLUS-n02n22,iDR3.SPLUS-n02n22.059110,178.77029842592015,1.7196630058638478,9102.045,7859.7705,1452,15.13808,0,10.992431,7.095323,-39.462326,1.5492502,0.35452646,"(5.444956, 10.855991, 15.110632, 21.927757)",4.0446515,0,2,9.49616E-4,21.932543,9.769983,0,336.12375,2,3.1942708E-4,42.660057,2,3.1942612E-4,43.553116,2,3.1925374E-4,46.58805,2,3.1938532E-4,36.39992,2,3.195848E-4,32.370384,2,3.8852225E-4,27.241177,2,3.2240807E-4,26.736395,2,5.028901999999999E-4,23.288872,2,6.220136E-4,33.511036,2,3.7741978E-4,20.96378,2,3.21669E-4,23.641905,2,3.248603E-4,21.753302,16.113223825306207,0.011086783,96.341125,15.519054659784091,0.011054363,96.623665,15.454639659605395,0.017472714,61.130352,15.345650537185302,0.01414151,77.3516,15.240603205386943,0.012743903,85.83465,15.131891091087311,0.0043147295,253.51959,15.050801466273604,0.008751483000000001,124.99236,14.862020727520816,0.0036514516,295.7121,14.592325152152807,0.0033222167,325.01743,14.776140294540774,0.0048240493,228.12895,14.722588246783845,0.010268396,106.59614,14.660550123942034,0.007911517,138.35164,12.0,18.13879682530621,0.018717716,57.06429,17.59258665978409,0.020025376,53.337982,17.412024659605397,0.027799496,38.42203,17.2046005371853,0.021274447,51.417015,17.088441205386946,0.019310674,56.6458,16.948456091087312,0.0071128234,153.78824,16.815991466273605,0.013164251,83.09387,16.602001727520815,0.005453728000000001,197.98904,16.428497152152804,0.0055997204,192.8272,16.43059129454077,0.005954246999999999,184.82697,16.367153746783845,0.011480853,95.33885,16.321960123942034,0.008704090500000001,125.753685,12.0,15.831,14.249,13.903,0.194,,,11550487+0143111,0.399522,16.8285,0.0449,16.5633,0.0214,GALEX J115504.8+014310,0.366284,13.672513671469293,0.0,13.5725195242959,0.0,1784p015o0014265,0.542821,1237671126979379364,0.004336047,6.18169E-6,-99.0,GALAXY,SDSSDR16,true,0.7142359884503366,0.5881401938702779
784909227700283392,697,52226,571,23.43599,0.9531301,4,0,QA,GALAXY,STARBURST,0.01923561,5.16383E-6,0,0.0,16.34185,12.65232,0.02420895,special,1,90.85654,1.491352,-1.286648,1,7.77,0.0,0.02,STRIPE82-0036,iDR3.STRIPE82-0036.025281,23.43590301681964,0.9531854643673012,9810.876,7158.1367,69,16.451593,0,3.2053733,2.5313187000000004,-10.029522,1.266286,0.21028894,"(1.6928643, 3.5547302, 5.404625, 8.804161)",5.186749,0,0,0.011463712,4.898829,1.9458884,0,28.262768,0,0.0077955304,17.086506,0,0.0075053102,10.734324,0,0.35452935,17.086506,0,0.32731572,17.086506,0,0.32093543,6.97667,0,0.028854296,5.6303997,0,0.07074521,4.467303299999998,0,0.07108774,6.4515195,0,3.298553E-4,8.033136,0,1.7502476000000002E-4,10.157539,0,0.020566612,17.086506,0,0.002911285,9.343435,19.16935238603974,0.12969933,8.2164955,18.482764419862015,0.09592985,11.108888,18.195555502945318,0.14612257,7.293014,18.462938034873503,0.23410599,4.644948,18.456158532253014,0.12513639,8.689799,18.124562128040946,0.038433783,28.293083000000006,17.39531561453263,0.04567741,23.806301,17.886911058841356,0.033825245,31.826136,18.139849828243527,0.04546704,23.67708,17.86187012165332,0.04823441,22.60563,17.76220630775025,0.093717225,11.603034,17.783798904395706,0.06808631,15.970964000000002,12.0,19.39664538603974,0.12099705,8.807438000000003,18.745296419862015,0.09290573,11.470488,18.471130502945318,0.1428024,7.4625773,19.0903140348735,0.3136086,3.4674122000000005,18.660428532253015,0.11471551,9.479191,18.336743128040947,0.035644498,30.507101,17.50471161453263,0.03914519,27.778898,18.084751058841356,0.030965516,34.765343,18.31521282824352,0.040868927,26.34096,18.11890712165333,0.046278533,23.561016,17.98915830775025,0.087394275,12.442511,18.02588290439571,0.06426975,16.919376,12.0,,,,,,,,,19.4041,0.1586,19.3051,0.1015,GALEX J013344.6+005712,1.063346,,,,,,,1237663785281388704,0.01924106,5.920886E-6,-99.0,GALAXY,SDSSDR16,true,0.3711527219104753,0.37115272189154436
786020833570088960,698,52203,519,24.82158,0.3394943,64,0,GALAXY,GALAXY,STARFORMING,0.01731262,1.220876E-5,0,57.05759,30.54692,8.916011,0.03902496,special,1,10.75153,-9999.0,-1.604968,1,7.77,0.0,0.01,STRIPE82-0038,iDR3.STRIPE82-0038.012689,24.821405739644106,0.33941991550867834,10019.744,3140.4695,177,16.988197,0,5.030138,3.6893172,-29.578894,1.3634334,0.26655746,"(2.693494, 5.4552927, 7.974471, 12.08299)",5.8679375999999985,0,2,3.7060288E-4,9.270254,4.2763667000000005,0,42.3599,2,8.144352499999999E-4,18.15186,2,3.869463E-5,25.853098000000006,2,0.00898778,25.853098000000006,2,7.137024E-4,25.853098000000006,2,9.8591234E-5,23.586882,2,3.236304E-4,10.701525,2,0.0051604407,16.140419,2,3.2460733E-4,10.522909,2,3.2383305E-4,11.793631,2,3.1889867E-4,13.007664,2,2.1876337000000006E-4,17.448627,2,2.720412E-4,16.612692000000006,18.808634393966884,0.08200302,12.750747,18.65117585463018,0.12704071,8.230431,18.293505169842337,0.14449178,7.236397,18.07547465355106,0.09469956,11.677932,17.909691977209768,0.080214754,13.786678,17.81716232288394,0.022003105,50.26086,17.823487921071468,0.064045765,17.267263,17.583371818374466,0.020235373,53.869057,17.54860268673092,0.021740854,50.1388,17.443122823764156,0.025786312,42.7075,17.44719571922411,0.059798744,18.253551,17.299960299090674,0.04488358,24.31935,12.0,19.54020739396688,0.076784424,13.617341,19.238691854630176,0.10409549,10.044621,18.706568169842335,0.1014954,10.301943,18.621557653551058,0.07563542,14.621392000000002,18.422724977209768,0.06266893400000001,17.646624,18.46453332288394,0.020446643,54.086884,18.23796392107146,0.046407665999999986,23.830008,18.219009818374467,0.018374823,59.323593,18.132621686730914,0.019085342,57.11506,18.071306823764157,0.022492422,48.961773,18.025758719224108,0.048557382,22.47937,18.01271429909067,0.040890634,26.694117,12.0,,,,,,,,,19.8177,0.1844,19.8259,0.0984,GALEX J013917.0+002022,1.268205,15.943258079497475,0.0,15.848260691722677,0.0,0242p000o0016559,0.467415,1237657071157969102,0.01731262,1.220876E-5,-99.0,GALAXY,SDSSDR16,true,0.6854022474666851,0.6820898851144054
1112505148715853824,988,52520,422,322.0409,1.141077,64,0,GALAXY,GALAXY,STARFORMING,0.01455931,1.115912E-5,0,52.31782,7.179275,31.60217,0.04817777,dr123,1,18.01499,0.4323368,-1.483486,1,8.87,0.2,0.004,STRIPE82-0118,iDR3.STRIPE82-0118.057304,322.04083571286577,1.1410975274006956,3481.2056,8387.85,656,14.782751,0,6.5372047,5.074781,17.680618,1.2881747,0.2237078,"(2.807095, 5.772547, 8.532328, 14.754997)",4.312426,0,0,0.028549412000000007,8.325441,3.8217316,0,263.0041,0,3.1934283E-4,21.71694,0,3.18595E-4,23.51067,0,3.1884978E-4,30.193905,0,3.2056964E-4,12.416118,0,3.2292062E-4,12.746689,0,0.022219025,9.699077,0,5.791846E-4,9.281776,0,0.027683588,8.502818,0,0.028346568,9.806793,0,0.02779842,8.100766,0,0.015200993,8.000088,0,0.02284982,7.89505,16.93590270859178,0.031549443,34.610474,16.413994572220872,0.03598846,30.34142,16.343082667871183,0.04369872,24.98794,16.051478854041378,0.02817558,38.365913,15.905954666209837,0.023209894,46.574184,15.7163570357821,0.0077682915,139.15309,15.559720540393311,0.014782321,73.12666,15.283412180097839,0.005655246,191.67189,15.057367782651784,0.004839418,223.9839,15.089965070981446,0.0059189145,182.96152,15.027959119373678,0.0118474765,91.26381,14.904648482936304,0.008944615,120.88232,12.0,17.780310708591777,0.020914018,52.21097,17.232750572220873,0.02447479,44.61493,17.03553866787118,0.026006846,41.98668,16.848294854041377,0.01891053,57.16295600000001,16.681102666209835,0.015751518,68.62715,16.52242103578209,0.0059653237,181.2109,16.34981254039332,0.010872456,99.42388,16.082171180097838,0.0044304207,244.66112,15.851473782651784,0.0042233914,256.65436,15.878434070981445,0.0043662367,248.02449,15.771382119373678,0.007794459,138.71982,15.703800482936305,0.005874183000000001,184.06744,12.0,15.175,14.597,14.228,0.118,0.131,0.104,21280979+0108278,0.12401,18.4507,0.0694,17.927,0.0336,GALEX J212809.8+010827,0.4179229999999999,13.084514595325905,0.0,12.994347138545525,0.0,3221p015o0007699,0.077929,1237678617938100369,0.01455931,1.1159120000000001E-5,-99.0,GALAXY,SDSSDR16,true,0.14384311326962848,0.24290186789534823
1231888746937346048,1094,52524,561,353.8313,1.191414,64,0,GALAXY,GALAXY,STARBURST,0.01960893,4.456354E-6,0,0.0,45.67701,7.697427,0.04673316,special,1,89.07701,7.210413,-1.843359,1,7.56,0.1,0.01,STRIPE82-0164,iDR3.STRIPE82-0164.055990,353.8312874584221,1.1914585641957038,8768.936,8717.694,128,16.139717,0,3.9065228,2.4927444,39.12625,1.5671574,0.361902,"(1.9401222, 3.910752, 5.71297, 9.702686)",4.3226037,0,3,0.019236734,7.184482000000001,3.3942914,0,64.10895500000001,3,1.9054094E-4,9.400395,3,1.9442795E-4,8.774466,3,0.0038074125,15.713299,3,2.374224E-4,9.27155,3,2.5776218E-4,15.302245,3,0.0039351895,7.4483933,3,0.02389306,4.689301,3,0.0032452932,7.3655205000000015,3,0.0011564348,8.314278999999999,3,3.4039185E-4,7.7555619999999985,3,2.5593862E-4,12.735847,3,2.750684E-4,8.724973,19.19145708195458,0.05905980000000001,18.24841,18.71450638103014,0.060959682,17.679674,18.402470214473873,0.07745911,13.913759,18.344411118924953,0.06359376,17.206926,18.32582952055329,0.062169105,17.601238000000006,18.27787881855363,0.0203723,53.7128,17.98781743546584,0.037163697,29.444141,18.175497982250395,0.018658554,58.14185300000001,18.221438555329048,0.022847794,47.4813,18.175889768970855,0.02481674,44.507507,18.103468127566707,0.054326775999999986,20.24307,18.14118606444639,0.043544874,25.25534,12.0,19.41849608195458,0.04854955,22.198914,19.017570381030144,0.054059300000000005,19.936392,18.649557214473873,0.06536831,16.487307,18.64589811892495,0.056286428,19.440804,18.611026520553292,0.054210767,20.185167,18.57636781855363,0.018779404,58.26880300000001,18.23167443546584,0.032233767,33.947426,18.461216982250395,0.016799942,64.57421,18.523056555329045,0.020683393,52.449947,18.467975768970856,0.021599833,51.1361,18.433995127566707,0.047589343,23.108970000000006,18.54730806444639,0.040455606,27.18389,12.0,,,,,,,,,19.2512,0.0971,19.4425,0.0752,GALEX J233519.5+011129,0.730561,16.520092202712362,0.0,16.570982062435284,0.0,3539p015o0006677,0.982147,1237663463145537615,0.01960893,4.456354E-6,-99.0,GALAXY,SDSSDR16,true,0.1666605880681151,0.1666605880681151
1245359420154603520,1106,52912,415,329.5317,1.00946,64,0,GALAXY,GALAXY,STARFORMING,0.01035372,8.4633E-6,0,32.36891,25.65177,19.02943,0.05364221,special,1,48.82938,1.306662,-0.6045895,1,9.12,0.0,0.04,STRIPE82-0130,iDR3.STRIPE82-0130.034693,329.53168408472635,1.0095552303387072,10111.595,7527.1987,204,15.970923999999998,0,5.721629599999999,2.477498,-76.84405500000003,2.3094387000000003,0.5669943000000001,"(2.7630796, 4.896526, 7.0904126, 10.877578)",4.100294600000002,0,3,0.028227739,13.613144,3.7230027,0,204.38274,3,0.021521166,22.592587,3,0.342116,22.592587,3,0.29183298,22.592587,3,0.014292682,22.592587,3,0.004668798300000001,17.914898,3,0.007988251,15.76537,3,3.1324226E-4,22.592587,3,0.021074997,14.856914000000002,3,0.026212431,11.764847,3,0.02300583,13.354562,3,0.003278573,13.08479,3,0.016863896,13.159517,18.974190113654817,0.06450286,16.293089000000002,18.722256628340375,0.08528016,12.323509,18.499860160680267,0.11731187,8.958606,18.008908399100044,0.06308234,17.458323,17.79395564924129,0.049278833,22.34858,17.499301834913364,0.012323485,89.36692,17.188268143293282,0.02505111,43.962597,16.638230410989568,0.0070249327,154.32657,16.302151526527258,0.0066379798,163.32285,16.16507463152708,0.0066419193,165.63745,15.93424035071576,0.012828333,85.03191,15.83834671369018,0.00875629,124.575325,12.0,19.536316113654816,0.07286273,14.423708,19.184325628340375,0.08821883,11.912998,18.68658516068026,0.09506502,11.055074,18.419872399100043,0.06285217400000001,17.522254999999998,18.17758564924129,0.04828825,22.807037,17.888621834913366,0.012786099,86.133545,17.574153143293284,0.025212627,43.680965,16.979623410989568,0.0071612415,151.38905,16.564608526527255,0.0065104794,166.52132,16.43937063152708,0.006296748,174.71725,16.149668350715757,0.011167955,97.67389,16.08084221369018,0.007763023000000002,140.51453999999998,12.0,14.94,14.106,12.748,0.119,0.161,,21580761+0100344,0.183377,,,,,,,,,,,,,1237678595929669820,0.01035372,8.4633E-6,-99.0,GALAXY,SDSSDR16,true,0.3975411514491911,0.3475824650167256
904255169124919296,803,52318,573,48.25662,0.1778369,64,0,GALAXY,GALAXY,STARBURST,0.007736175,5.595759E-6,0,0.0,27.9287,8.064113,0.07491642,special,1,48.47424,-9999.0,-9999.0,1,6.7,0.0,0.01,STRIPE82-0070,iDR3.STRIPE82-0070.006889,48.25660219132453,0.1778506733979914,5057.8409999999985,2082.7014,81,16.94075,0,3.1697388,2.7989080000000004,15.218987,1.1324912,0.11699098,"(2.313085, 4.33028, 6.1483207, 10.271296)",4.671225,0,0,3.4816004000000003E-4,8.616508999999999,2.9258158,0,31.277607,0,0.38975284,17.8681,0,0.3537426,17.8681,0,0.34943694,17.8681,0,0.03512435,17.8681,0,0.035474665,17.8681,0,2.3947174E-4,9.223579,0,0.005613371,17.8681,0,3.0115384E-4,10.899482,0,2.7331267000000003E-4,9.863897,0,0.0010844602,12.50236,0,0.45935586,8.2092,0,8.636653E-4,17.8681,20.051822739411286,0.1504294,6.9877534,19.59127785431517,0.14453483,7.2727356,19.4945215870368,0.20248128,5.191411,19.0360101025599,0.117796935,9.089774,18.887596885248865,0.097995535,10.926494,18.89386638705461,0.034110498,31.390558,18.95541504913083,0.08239001,12.996085,18.668794908884344,0.031780917,33.953133,18.55216729541093,0.032148235,33.565197,18.61098313578792,0.04508217,23.88052,18.67692504048808,0.105917744,10.222296,18.61232391332102,0.08468174,12.785783,12.0,20.173760739411286,0.12528008,8.390509,19.711724854315168,0.12106408,8.682704,19.5757805870368,0.1632889,6.4374466,19.2273541025599,0.1055676,10.142767,19.095903885248866,0.08946069999999999,11.968915,19.127642387054614,0.03235691,33.091778000000005,19.149313049130832,0.07434816,14.401803,18.956310908884344,0.031131366,34.661564,18.825433295410928,0.031268843,34.509170000000005,18.82261313578792,0.040694777,26.455133,18.92806404048808,0.098287284,11.015895,18.88052291332102,0.079619676,13.598679999999998,12.0,,,,,,,,,21.2205,0.3473,20.4538,0.1971,GALEX J031301.5+001040,0.653204,16.731158304357322,0.0,16.37361130413522,0.0,0484p000o0014668,0.532959,1237663784218526106,0.007736175,5.595759E-6,-99.0,GALAXY,SDSSDR16,true,0.08111429235214784,0.08104817435024668
1213760550970877952,1078,52643,147,23.93344,-0.388054,64,0,GALAXY,GALAXY,STARBURST,0.01690291,5.872092E-6,0,721.7222,150.8494,3.643182,0.03574614,special,1,102.9097,-9999.0,-9999.0,2,7.25,0.0,0.02,STRIPE82-0035,iDR3.STRIPE82-0035.044262,23.93352949197434,-0.3880514921148017,6554.0430000000015,7542.355,85,18.250252,0,4.8701515,2.2185156000000004,-38.676105,2.1952298,0.54446685,"(2.7809064, 5.2658215, 7.50082, 11.316582)",5.2101398,0,0,2.9471534E-4,17.415867000000002,5.178162,0,24.203959,0,0.34794400000000003,0.0,0,0.42069018,19.721302,0,0.36580065,19.721302,0,0.34950015,12.623284,0,0.030586196,19.721302,0,1.6820498E-4,19.4043,0,0.028627995,19.721302,0,2.1896472E-4,19.721302,0,0.0032592132,14.12656,0,0.0065653794,19.721302,0,0.04248686,19.721302,0,0.039113294,19.721302,20.073161794332357,0.16017367,6.967667,19.482579777188956,0.15694116,7.11118,19.126867925942143,0.19340101,5.770584,19.3597164911572,0.14928567,7.3181057,19.024300664723068,0.109483026,9.97861,19.015474004708977,0.039557062,27.618036,18.89977703452126,0.07965138599999999,13.715875,18.947939698873643,0.04184764,26.30034,18.786461060313872,0.037666596,29.219711,18.787676968855248,0.04940497,22.143156,18.87356140004748,0.11852891,9.223148,18.78798786345262,0.0901698,12.1239,12.0,20.605454794332356,0.1816159,6.1450386,19.820569777188958,0.14969820000000006,7.4552455,19.475693925942142,0.18611898,5.996362,19.7835534911572,0.15460484,7.066327,19.539610664723067,0.123363145,8.855872999999997,19.461727004708976,0.042203024000000006,25.886496,19.25330203452126,0.07840616,13.933704,19.420427698873645,0.045405347,24.239592,19.106824060313873,0.036244094,30.366524,19.317495968855248,0.056078028,19.508213,19.294858400047477,0.12156224,8.993003,19.28764686345262,0.09908794,11.032722,12.0,,,,,,,,,20.3553,0.147,20.0911,0.1082,GALEX J013544.0-002316,0.739364,,,,,,,1237663783670972745,0.01690291,5.872092E-6,-99.0,GALAXY,SDSSDR16,true,0.31509325567667146,0.32229020044143897
1231897817908275200,1094,52524,594,354.3593,0.387757,64,0,GALAXY,GALAXY,STARBURST,0.009132812,4.496167E-6,0,0.0,31.30043,3.436043,0.03855824,special,1,541.8608,-9999.0,-1.816502,1,5.92,0.1,0.01,STRIPE82-0164,iDR3.STRIPE82-0164.020807,354.3591655681802,0.3877507664779725,5314.239000000001,3456.667,495,16.641703,0,12.136234,10.475466,-87.75126999999998,1.1585388,0.1368438,"(7.658138, 16.17102, 20.900427, 26.826899)",7.487233,0,3,3.1374990000000003E-4,19.931684,9.4166765,0,35.06343,3,3.441346E-4,26.994223,3,2.023078E-4,39.70464000000001,3,0.0067067603000000005,67.68881999999999,3,6.622820500000001E-4,67.68881999999999,3,7.548012E-4,52.38119,3,2.7848236E-4,21.620237,3,3.239787E-4,16.123279999999998,3,2.5318077E-4,21.658617,3,0.021854164,10.0420475,3,2.8552968E-4,57.334778,3,8.8705844E-4,67.68881999999999,3,1.8625948E-4,67.68881999999999,18.10959169358337,0.055197146,19.66721,17.554451037311892,0.052601896,20.637545000000006,17.760827858559736,0.106863625,10.158498,17.65608146068456,0.08185336,13.13595,17.371209962129544,0.06323079,17.004715,17.423609688881196,0.021717474,49.509514,17.236720441910492,0.044430353,24.200161,17.139577310987725,0.017764778999999998,61.596535,16.55500068980273,0.012686204,86.25503,17.111504440174702,0.023258729,46.477848,17.1655456396717,0.058862664,18.420406,16.87400542055884,0.035192583,30.809736,12.0,19.41983369358337,0.04753009,22.83972,18.720793037311893,0.04199068,25.852736,19.286440858559736,0.10809716,10.042576,19.273019460684555,0.09022686,11.916871,19.168823962129544,0.08217189,13.085031,19.043525688881193,0.025757074,41.744713,18.524836441910495,0.039026607000000005,27.550993,18.924195310987724,0.023813935,45.94994000000001,17.682051689802723,0.011238668,97.36464,19.212890440174704,0.03899172,27.724236,19.2324846396717,0.09344372,11.6035,19.26199842055884,0.07443101,14.567507,12.0,,,,,,,,,,,,,,,16.488698227647614,0.0,16.35940761652668,0.0,3539p000o0016956,0.989841,1237666408439939273,0.009132811999999999,4.496167E-6,-99.0,GALAXY,SDSSDR16,true,0.34068664235013896,0.4844634818151477
